smiles,occurrence,degree,type,bonds
*CC(=O)OC,3113,1,Sub,-
*OCCCC,3106,1,Sub,-
*S(=O)(=O)O,3102,1,Sub,-
*c1cc2ccccc2o1,3093,1,Ring,-
*NC(C)C,3088,1,Sub,-
*c1c(*)c(*)c(*)c(*)c1*,3087,6,Ring,------
*CC(O)CO*,3082,2,Linker,--
*c1ccc2[nH]nc(*)c2c1,3055,2,Ring,--
*CC#N,3052,1,Sub,-
*C(=O)CC,3036,1,Sub,-
*c1cncnc1,3030,1,Ring,-
*C1CCCCCC1,3024,1,Ring,-
*C1=CN(*)c2cc(*)c(*)cc2C1=*,3023,5,Ring,----=
*C1CC2CCC(C1)N2*,3012,2,Ring,--
*n1cnnn1,2995,1,Ring,-
*c1cn[nH]c1,2985,1,Ring,-
*c1ccc2[nH]c(*)c(*)c2c1,2972,3,Ring,---
*CC(=O)OCC,2968,1,Sub,-
*c1nc(*)n(*)c1*,2961,4,Ring,----
*c1ccc(*)c2ccccc12,2959,2,Ring,--
*c1sc(*)c(*)c1*,2956,4,Ring,----
*c1nccnc1*,2936,2,Ring,--
*c1ccc2ncnc(*)c2c1,2920,2,Ring,--
*C1=CCN(*)CC1,2920,2,Ring,--
*C1CC1(*)*,2911,3,Ring,---
*c1cnc(*)[nH]1,2878,2,Ring,--
*c1ccc2ccccc2c1*,2877,2,Ring,--
*c1cccc2cccnc12,2861,1,Ring,-
*C1=CC(=*)Oc2cc(*)ccc21,2853,3,Ring,-=-
*C1=C(*)N(*)C(=*)NC1=*,2838,5,Ring,---==
*S(=O)(=O)CC,2836,1,Sub,-
*CC(*)O,2815,2,Linker,--
*c1cnc(*)o1,2773,2,Ring,--
*c1cc[n+](*)cc1,2759,2,Ring,--
*CCNC*,2756,2,Linker,--
*c1c[nH]nc1*,2725,2,Ring,--
*c1cncc(*)n1,2723,2,Ring,--
*C1CC(*)C1,2711,2,Ring,--
*CCCCCC,2701,1,Sub,-
*C=CC(=O)O*,2693,2,Linker,--
*=C1NC(=*)C(=*)S1,2690,3,Ring,===
*OS(*)(=O)=O,2663,2,Linker,--
*N(C)S(*)(=O)=O,2661,2,Linker,--
*C1=NCCN1,2641,1,Ring,-
*C1CN(*)CC(*)O1,2623,3,Ring,---
*N1CCC(*)(*)C1,2620,3,Ring,---
*c1cn(*)c(*)n1,2614,3,Ring,---
*c1ccc2nc(*)nc(*)c2c1,2611,3,Ring,---
*CCC(C)C,2611,1,Sub,-
*c1nonc1*,2599,2,Ring,--
*c1ncnc2c1c(*)nn2*,2598,3,Ring,---
*CC(NC(*)=O)C(=O)O,2571,2,Linker,--
*C(=O)COC(*)=O,2564,2,Linker,--
*N1C(=*)NC(*)(*)C1=*,2553,5,Ring,-=--=
*c1cc2ccccc2[nH]1,2533,1,Ring,-
*CNC(C)=O,2528,1,Sub,-
*c1ccc2nc(*)c(*)n2c1,2515,3,Ring,---
