smiles,occurrence,degree,type,bonds
*c1cc(*)c(*)o1,1531,3,Ring,---
*c1ccnc2ccccc12,1524,1,Ring,-
*c1cc(*)c(*)cn1,1511,3,Ring,---
*c1ccc(-c2ccc(*)o2)cc1,1506,2,Ring,--
*CC(*)*,1504,3,Linker,---
*N1Cc2ccccc2C1,1502,1,Ring,-
*c1ccon1,1501,1,Ring,-
*C(=O)NCCC,1498,1,Sub,-
*c1nnn[nH]1,1490,1,Ring,-
*C1=C(*)N2C(=*)C(*)C2SC1,1490,4,Ring,--=-
*c1cccc2c(=*)n(C3CCC(=*)NC3=*)c(=*)c12,1488,5,Ring,-====
*c1ccoc1*,1487,2,Ring,--
*c1cc(*)n(-c2ccccc2)n1,1478,2,Ring,--
*CCS*,1476,2,Linker,--
*c1ccc2nc(*)nc(*)c2c1,1459,3,Ring,---
*C(=O)N(*)*,1454,3,Linker,---
*C1CCNC1,1453,1,Ring,-
*c1cnc[nH]1,1448,1,Ring,-
*c1cc(*)c(*)c(*)n1,1447,4,Ring,----
*c1cnc2ccccc2c1,1428,1,Ring,-
*CN(C)C(=O)N*,1427,2,Linker,--
*CCCOC,1419,1,Sub,-
*NCCN(C)C,1418,1,Sub,-
*c1ccc2c(c1)CCC2,1416,1,Ring,-
*c1c(*)c(=*)c2ccccc2c1=*,1414,4,Ring,--==
*C1OC(*)C(*)C1*,1410,4,Ring,----
*S(=O)(=O)C(C)C,1407,1,Sub,-
*C1CC1c1ccccc1,1406,1,Ring,-
*OCCCO*,1402,2,Linker,--
*C(=O)C(*)=O,1395,2,Linker,--
*C1CCCC1*,1389,2,Ring,--
*c1ccc2nc(*)ccc2c1,1388,2,Ring,--
*n1nnc2ccccc21,1387,1,Ring,-
*C1CCCc2ccccc21,1382,1,Ring,-
*C1=NN(*)C(=*)c2ccccc21,1382,3,Ring,--=
*C1CCN(*)CC1*,1379,3,Ring,---
*C=C(*)C#N,1379,2,Linker,--
*c1sc2c(c1*)CCCC2,1377,2,Ring,--
*CN(*)C*,1366,3,Linker,---
*c1ccc2nc(*)c(*)cc2c1,1364,3,Ring,---
*c1c(*)n(*)c2ccccc12,1361,3,Ring,---
*N1CCN(c2ncccn2)CC1,1357,1,Ring,-
*NC(=O)C(C)C,1355,1,Sub,-
*C=NNC(=O)C*,1350,2,Linker,--
*N1CCCC(*)(*)C1,1348,3,Ring,---
*c1n[nH]c(*)n1,1343,2,Ring,--
*CCNC(=O)N*,1338,2,Linker,--
*c1oc2ccccc2c1*,1337,2,Ring,--
*C(=O)NN=C(*)C,1328,2,Linker,--
*CN(CC)CC,1328,1,Sub,-
*CNC,1327,1,Sub,-
*c1ccc2ncccc2c1,1324,1,Ring,-
*c1ccc2c(*)n[nH]c2c1,1324,2,Ring,--
*N1CCC1,1323,1,Ring,-
*CC(O)C*,1316,2,Linker,--
*n1c(=*)c(=*)c2ccccc21,1306,3,Ring,-==
*c1nc(*)n(*)c1*,1300,4,Ring,----
*c1ccc2nc(*)n(*)c2c1,1296,3,Ring,---
*CC(N)C(=O)O,1295,1,Sub,-
*c1cc(C2c3cc4c(cc3C(*)C3COC(=*)C23)OCO4)cc(*)c1*,1293,5,Ring,--=--
*c1ncsc1*,1279,2,Ring,--
*c1ccc(-c2nc(*)co2)cc1,1274,2,Ring,--
*C1=CN(*)C(=*)NC1=*,1273,4,Ring,--==
*NC(=O)NCC,1273,1,Sub,-
*C1CC(*)CN(*)C1,1272,3,Ring,---
*NCCC,1271,1,Sub,-
*CN(*)*,1263,3,Linker,---
*C1CCCCO1,1261,1,Ring,-
*C1CCCC(*)C1,1261,2,Ring,--
*C1=NCCN1,1259,1,Ring,-
*c1ccc(-c2ccc(*)c(*)c2)cc1,1256,3,Ring,---
*NNC(*)=O,1256,2,Linker,--
*c1nc2ccccc2nc1*,1253,2,Ring,--
*CC(N)C(*)=O,1245,2,Linker,--
*C(C)NC(C)=O,1245,1,Sub,-
*C1CCC(*)(*)CC1,1239,3,Ring,---
*c1ncc[nH]1,1238,1,Ring,-
*c1ccc2oc(*)nc2c1,1237,2,Ring,--
*C(=O)NCCOC,1233,1,Sub,-
*c1ccc2[nH]ccc2c1,1230,1,Ring,-
*c1nonc1*,1229,2,Ring,--
*c1ccc[n+](*)c1,1228,2,Ring,--
*c1cc2c(cc1*)OCO2,1226,2,Ring,--
*C1=CC=CN(*)C1=*,1226,3,Ring,--=
*c1cc(*)n2nc(*)nc2n1,1225,3,Ring,---
*C(=O)NN=*,1221,2,Linker,-=
*c1nc(-c2ccccc2)cs1,1220,1,Ring,-
*C1OC(N2C=CC(=*)NC2=*)C(*)C1*,1219,5,Ring,-==--
*C1=C2C(*)C(=*)C3(*)C(*)CC4OCC4(*)C3C(*)C(*)(CC1*)C2(*)*,1219,11,Ring,--=--------
*NCC(=O)N*,1219,2,Linker,--
*NC(=O)CNC(*)=O,1218,2,Linker,--
*N(CCCl)CCCl,1214,1,Sub,-
*c1coc(*)n1,1211,2,Ring,--
*CNC(=O)CO*,1211,2,Linker,--
*C1=C(*)C(=*)C1=*,1210,4,Ring,--==
*c1cncc(*)c1*,1207,3,Ring,---
*C1CCNC1=*,1204,2,Ring,-=
*c1cc(*)n(*)c1*,1202,4,Ring,----
*c1nc(*)n(*)n1,1201,3,Ring,---
*c1c2c(nc3ccccc13)CCCC2,1199,1,Ring,-
*C1CCC2(*)C(CCC3(*)C2CC=C2C4CC(*)(*)CCC4(*)CCC23*)C1(*)*,1197,9,Ring,---------
